Timestamp,Container,CPU,MemUsage,MemPerc
1769446682,java-bench,53.80%,2.121GB / 12.21GB,17.37%
1769446682,python-bench,27.82%,204.4MB / 12.21GB,1.67%
1769446684,go-bench,38.27%,138.5MB / 12.21GB,1.13%
1769446684,java-bench,53.60%,2.121GB / 12.21GB,17.37%
1769446684,python-bench,28.91%,205.5MB / 12.21GB,1.68%
1769446685,go-bench,38.12%,138.5MB / 12.21GB,1.13%
1769446685,java-bench,53.39%,2.121GB / 12.21GB,17.37%
1769446685,python-bench,30.13%,206.2MB / 12.21GB,1.69%
1769446686,go-bench,37.97%,138.5MB / 12.21GB,1.13%
1769446686,java-bench,53.20%,2.121GB / 12.21GB,17.37%
1769446686,python-bench,31.27%,207.2MB / 12.21GB,1.70%
1769446687,go-bench,37.82%,138.5MB / 12.21GB,1.13%
1769446687,java-bench,52.99%,2.121GB / 12.21GB,17.37%
1769446687,python-bench,32.49%,208.3MB / 12.21GB,1.71%
1769446689,go-bench,37.68%,138.5MB / 12.21GB,1.13%
1769446689,java-bench,52.79%,2.121GB / 12.21GB,17.37%
1769446689,python-bench,33.63%,209MB / 12.21GB,1.71%
1769446690,go-bench,37.52%,138.5MB / 12.21GB,1.13%
1769446690,java-bench,52.58%,2.121GB / 12.21GB,17.37%
1769446690,python-bench,34.87%,209.6MB / 12.21GB,1.72%
1769446691,go-bench,37.36%,138.5MB / 12.21GB,1.13%
1769446691,java-bench,52.36%,2.121GB / 12.21GB,17.37%
1769446691,python-bench,36.14%,210.8MB / 12.21GB,1.73%
1769446692,go-bench,37.21%,138.5MB / 12.21GB,1.13%
1769446692,java-bench,52.15%,2.121GB / 12.21GB,17.37%
1769446692,python-bench,37.37%,211.8MB / 12.21GB,1.74%
1769446694,go-bench,37.06%,138.5MB / 12.21GB,1.13%
1769446694,java-bench,51.94%,2.121GB / 12.21GB,17.37%
1769446694,python-bench,38.60%,213MB / 12.21GB,1.74%
1769446695,go-bench,36.91%,138.5MB / 12.21GB,1.13%
1769446695,java-bench,51.74%,2.121GB / 12.21GB,17.37%
1769446695,python-bench,39.77%,213.7MB / 12.21GB,1.75%
1769446696,go-bench,36.77%,138.5MB / 12.21GB,1.13%
1769446696,java-bench,51.55%,2.121GB / 12.21GB,17.37%
1769446696,python-bench,40.91%,214.2MB / 12.21GB,1.75%
1769446697,go-bench,36.63%,138.5MB / 12.21GB,1.13%
1769446697,java-bench,51.36%,2.121GB / 12.21GB,17.37%
1769446697,python-bench,42.02%,215.7MB / 12.21GB,1.77%
1769446699,go-bench,36.49%,138.5MB / 12.21GB,1.13%
1769446699,java-bench,51.17%,2.121GB / 12.21GB,17.37%
1769446699,python-bench,43.15%,216.2MB / 12.21GB,1.77%
1769446700,go-bench,36.35%,138.5MB / 12.21GB,1.13%
1769446700,java-bench,50.97%,2.121GB / 12.21GB,17.37%
1769446700,python-bench,44.25%,217.2MB / 12.21GB,1.78%
1769446701,go-bench,36.21%,138.5MB / 12.21GB,1.13%
1769446701,java-bench,50.77%,2.121GB / 12.21GB,17.37%
1769446701,python-bench,45.41%,218MB / 12.21GB,1.79%
1769446702,go-bench,36.08%,138.5MB / 12.21GB,1.13%
1769446702,java-bench,50.59%,2.121GB / 12.21GB,17.37%
1769446702,python-bench,46.49%,219.1MB / 12.21GB,1.79%
1769446704,go-bench,35.94%,138.5MB / 12.21GB,1.13%
1769446704,java-bench,50.40%,2.121GB / 12.21GB,17.37%
1769446704,python-bench,47.66%,219.8MB / 12.21GB,1.80%
1769446705,go-bench,35.80%,138.5MB / 12.21GB,1.13%
1769446705,java-bench,50.21%,2.121GB / 12.21GB,17.37%
1769446705,python-bench,48.76%,220.8MB / 12.21GB,1.81%
1769446706,go-bench,35.67%,138.5MB / 12.21GB,1.13%
